Test-Case,Capacity,Dynamic-Programming,Greedy,Time-Dynamic,Time-Greedy,BestFit,BestTime
1,3480,183344,183089,2.3065671920776367,0.003159046173095703,183344,Greedy
2,3640,172396,171872,2.4203038215637207,0.0017380714416503906,172396,Greedy
3,3810,174565,174193,2.540847063064575,0.0018129348754882812,174565,Greedy
4,3190,151723,151507,1.8966732025146484,0.0013499259948730469,151723,Greedy
5,3010,131454,131403,1.4354660511016846,0.0011000633239746094,131454,Greedy
6,3360,159126,158967,1.7867379188537598,0.0012149810791015625,159126,Greedy
7,4110,207776,207776,2.8723220825195312,0.0048749446868896484,207776,Greedy
8,1060,25859,25843,0.1727769374847412,0.0003478527069091797,25859,Greedy
9,3380,177382,177382,2.1418638229370117,0.001312255859375,177382,Greedy
10,1240,32756,32661,0.2382500171661377,0.0003910064697265625,32756,Greedy
11,2780,113713,113713,1.3255631923675537,0.0010530948638916016,113713,Greedy
12,1400,46465,46388,0.3043980598449707,0.0005190372467041016,46465,Greedy
13,1330,44044,44000,0.270097017288208,0.0005939006805419922,44044,Greedy
14,1310,39511,39488,0.26108694076538086,0.00039386749267578125,39511,Greedy
15,1380,39523,39365,0.29195284843444824,0.00044608116149902344,39523,Greedy
16,3010,118047,118047,1.4180798530578613,0.0010440349578857422,118047,Greedy
17,1230,34924,34897,0.23384714126586914,0.0005271434783935547,34924,Greedy
18,3390,186060,186060,1.8086967468261719,0.0011560916900634766,186060,Greedy
19,4170,223863,223863,2.820216178894043,0.0014138221740722656,223863,Greedy
20,1050,29768,29636,0.1718289852142334,0.001220703125,29768,Greedy
